iter	Passed	Remaining
0	144	144653
1	145	72841
2	147	48975
3	148	36991
4	149	29786
5	150	24969
6	151	21528
7	152	18942
8	153	16948
9	155	15439
10	156	14110
11	157	13002
12	159	12083
13	160	11286
14	161	10594
15	162	9988
16	163	9452
17	164	8978
18	165	8552
19	168	8251
20	169	7902
21	170	7577
22	171	7285
23	172	7016
24	173	6765
25	174	6535
26	175	6322
27	176	6123
28	177	5944
29	178	5771
30	179	5610
31	182	5507
32	183	5367
33	184	5238
34	185	5114
35	186	4995
36	187	4882
37	188	4774
38	189	4673
39	190	4582
40	191	4490
41	193	4404
42	195	4348
43	197	4287
44	198	4217
45	200	4160
46	201	4091
47	202	4024
48	204	3961
49	207	3946
50	208	3888
51	210	3831
52	211	3780
53	212	3728
54	214	3677
55	215	3628
56	216	3583
57	217	3539
58	221	3531
59	223	3493
60	224	3453
61	225	3418
62	228	3393
63	229	3355
64	232	3350
65	234	3315
66	235	3279
67	236	3247
68	238	3213
69	239	3180
70	240	3148
71	241	3118
72	243	3091
73	247	3094
74	249	3080
75	251	3054
76	252	3027
77	257	3043
78	262	3061
79	264	3038
80	267	3031
81	268	3009
82	269	2978
83	271	2956
84	274	2956
85	276	2937
86	280	2946
87	282	2929
88	284	2914
89	286	2896
90	292	2918
91	294	2901
92	296	2891
93	298	2872
94	299	2853
95	305	2876
96	308	2870
97	310	2854
98	311	2837
99	314	2833
100	321	2861
101	323	2844
102	325	2834
103	329	2837
104	335	2855
105	338	2852
106	339	2836
107	341	2821
108	343	2805
109	345	2796
110	348	2788
111	349	2771
112	351	2755
113	352	2739
114	353	2723
115	355	2708
116	356	2691
117	359	2686
118	362	2683
119	364	2671
120	366	2661
121	367	2647
122	369	2636
123	374	2643
124	376	2634
125	378	2624
126	379	2611
127	381	2598
128	383	2586
129	384	2574
130	388	2575
131	389	2563
132	391	2550
133	392	2537
134	394	2525
135	395	2512
136	397	2500
137	398	2488
138	402	2495
139	404	2484
140	405	2473
141	406	2458
142	408	2447
143	409	2436
144	411	2424
145	412	2415
146	416	2415
147	419	2412
148	420	2404
149	422	2395
150	424	2385
151	425	2375
152	429	2376
153	430	2366
154	432	2356
155	433	2346
156	435	2337
157	436	2327
158	438	2318
159	439	2308
160	442	2306
161	444	2299
162	446	2290
163	447	2281
164	450	2277
165	451	2270
166	453	2262
167	458	2272
168	460	2263
169	465	2275
170	473	2296
171	477	2300
172	481	2300
173	485	2306
174	488	2304
175	491	2299
176	494	2297
177	496	2290
178	501	2301
179	504	2296
180	506	2291
181	508	2286
182	514	2298
183	517	2295
184	519	2289
185	522	2286
186	524	2280
187	529	2288
188	544	2337
189	551	2349
190	555	2352
191	563	2370
192	568	2377
193	571	2374
194	579	2393
195	582	2388
196	584	2384
197	591	2394
198	594	2391
199	597	2389
200	599	2383
201	610	2410
202	623	2446
203	630	2460
204	633	2457
205	635	2450
206	648	2485
207	653	2487
208	665	2517
209	677	2547
210	680	2544
211	691	2571
212	697	2575
213	702	2580
214	718	2623
215	726	2638
216	746	2692
217	755	2711
218	758	2704
219	763	2707
220	782	2758
221	795	2787
222	798	2781
223	813	2817
224	822	2833
225	827	2833
226	829	2824
227	839	2844
228	844	2842
229	853	2856
230	859	2862
231	866	2869
232	869	2860
233	874	2864
234	880	2867
235	886	2868
236	888	2861
237	891	2854
238	898	2860
239	900	2851
240	902	2842
241	911	2856
242	914	2847
243	916	2838
244	918	2829
245	926	2840
246	929	2834
247	931	2825
248	933	2816
249	942	2828
250	944	2819
251	947	2811
252	949	2802
253	954	2804
254	956	2794
255	958	2784
256	960	2775
257	961	2766
258	963	2756
259	968	2757
260	970	2748
261	972	2740
262	974	2732
263	977	2724
264	982	2725
265	985	2719
266	988	2712
267	994	2716
268	998	2712
269	1000	2704
270	1002	2696
271	1004	2688
272	1007	2682
273	1011	2681
274	1014	2673
275	1016	2665
276	1018	2659
277	1020	2650
278	1024	2648
279	1028	2644
280	1039	2659
281	1041	2652
282	1044	2646
283	1048	2642
284	1054	2645
285	1057	2640
286	1060	2633
287	1066	2637
288	1069	2630
289	1071	2622
290	1074	2616
291	1078	2615
292	1080	2608
293	1082	2600
294	1085	2593
295	1087	2586
296	1090	2581
297	1094	2579
298	1097	2572
299	1100	2566
300	1103	2562
301	1109	2563
302	1111	2556
303	1113	2550
304	1115	2542
305	1117	2535
306	1123	2535
307	1125	2527
308	1127	2520
309	1129	2513
310	1131	2505
311	1135	2503
312	1137	2496
313	1139	2489
314	1141	2482
315	1143	2475
316	1146	2470
317	1151	2468
318	1154	2464
319	1156	2458
320	1162	2459
321	1166	2455
322	1171	2454
323	1173	2448
324	1176	2442
325	1178	2437
326	1180	2430
327	1183	2424
328	1185	2417
329	1188	2413
330	1190	2407
331	1192	2400
332	1195	2393
333	1196	2386
334	1198	2379
335	1202	2377
336	1204	2370
337	1208	2367
338	1212	2363
339	1216	2361
340	1218	2355
341	1220	2348
342	1226	2349
343	1232	2349
344	1236	2347
345	1238	2341
346	1240	2335
347	1245	2334
348	1251	2334
349	1253	2328
350	1257	2325
351	1261	2321
352	1264	2317
353	1266	2311
354	1268	2305
355	1273	2303
356	1279	2304
357	1282	2299
358	1284	2293
359	1296	2305
360	1299	2299
361	1307	2303
362	1309	2298
363	1312	2294
364	1315	2287
365	1326	2298
366	1329	2293
367	1338	2298
368	1345	2300
369	1353	2304
370	1357	2301
371	1363	2301
372	1368	2299
373	1370	2294
374	1377	2296
375	1382	2294
376	1399	2312
377	1425	2345
378	1441	2361
379	1446	2360
380	1450	2356
381	1461	2363
382	1467	2363
383	1470	2358
384	1478	2361
385	1480	2354
386	1482	2348
387	1484	2341
388	1486	2334
389	1490	2331
390	1492	2324
391	1494	2318
392	1496	2311
393	1498	2305
394	1503	2302
395	1505	2296
396	1507	2290
397	1510	2283
398	1511	2277
399	1517	2276
400	1520	2270
401	1522	2264
402	1524	2258
403	1527	2253
404	1532	2251
405	1534	2244
406	1536	2238
407	1538	2231
408	1540	2225
409	1541	2218
410	1545	2214
411	1547	2208
412	1549	2202
413	1551	2196
414	1554	2190
415	1558	2187
416	1560	2181
417	1562	2174
418	1563	2168
419	1565	2162
420	1567	2156
421	1569	2150
422	1572	2144
423	1574	2138
424	1576	2132
425	1579	2128
426	1581	2122
427	1585	2118
428	1587	2112
429	1589	2106
430	1591	2101
431	1595	2098
432	1598	2093
433	1600	2087
434	1605	2084
435	1606	2078
436	1609	2073
437	1611	2067
438	1613	2061
439	1615	2056
440	1617	2050
441	1619	2044
442	1621	2038
443	1622	2032
444	1624	2026
445	1627	2021
446	1629	2015
447	1631	2009
448	1633	2004
449	1635	1998
450	1641	1998
451	1644	1993
452	1647	1989
453	1649	1983
454	1652	1979
455	1655	1974
456	1658	1970
457	1660	1964
458	1662	1959
459	1664	1953
460	1667	1949
461	1669	1944
462	1671	1938
463	1673	1933
464	1675	1927
465	1677	1922
466	1680	1917
467	1682	1912
468	1683	1906
469	1685	1901
470	1687	1895
471	1689	1889
472	1691	1885
473	1697	1884
474	1699	1878
475	1701	1873
476	1703	1867
477	1705	1861
478	1710	1860
479	1713	1855
480	1714	1850
481	1716	1845
482	1727	1848
483	1729	1843
484	1731	1838
485	1734	1833
486	1742	1835
487	1744	1830
488	1747	1825
489	1757	1829
490	1760	1825
491	1762	1820
492	1771	1821
493	1774	1817
494	1776	1812
495	1788	1817
496	1791	1813
497	1795	1809
498	1799	1806
499	1801	1801
500	1803	1796
501	1811	1797
502	1814	1792
503	1816	1787
504	1824	1788
505	1829	1785
506	1831	1780
507	1843	1785
508	1845	1780
509	1848	1775
510	1859	1779
511	1861	1773
512	1863	1768
513	1875	1773
514	1884	1775
515	1889	1772
516	1891	1766
517	1900	1768
518	1902	1763
519	1905	1759
520	1913	1758
521	1916	1754
522	1918	1750
523	1920	1744
524	1934	1750
525	1941	1749
526	1948	1748
527	1951	1744
528	1956	1741
529	1964	1742
530	1971	1741
531	1974	1736
532	1976	1731
533	1978	1726
534	1980	1721
535	1985	1718
536	1987	1713
537	1989	1708
538	1991	1703
539	1993	1698
540	1999	1696
541	2002	1691
542	2004	1687
543	2006	1682
544	2008	1677
545	2014	1675
546	2018	1671
547	2020	1666
548	2022	1661
549	2024	1656
550	2028	1652
551	2030	1647
552	2032	1642
553	2034	1637
554	2036	1632
555	2040	1629
556	2042	1624
557	2045	1620
558	2047	1615
559	2049	1610
560	2051	1605
561	2053	1600
562	2055	1595
563	2057	1590
564	2059	1585
565	2061	1580
566	2063	1575
567	2065	1570
568	2067	1566
569	2069	1561
570	2071	1556
571	2073	1551
572	2078	1548
573	2082	1545
574	2084	1540
575	2086	1535
576	2092	1533
577	2093	1528
578	2096	1524
579	2098	1519
580	2100	1514
581	2103	1510
582	2106	1506
583	2108	1501
584	2110	1497
585	2112	1492
586	2113	1487
587	2119	1484
588	2123	1481
589	2125	1477
590	2128	1472
591	2131	1469
592	2134	1465
593	2136	1460
594	2138	1455
595	2140	1451
596	2146	1448
597	2148	1444
598	2150	1439
599	2151	1434
600	2153	1429
601	2158	1426
602	2160	1422
603	2163	1418
604	2165	1413
605	2167	1409
606	2169	1404
607	2173	1401
608	2175	1396
609	2177	1392
610	2179	1387
611	2181	1383
612	2187	1380
613	2190	1376
614	2192	1372
615	2194	1367
616	2196	1363
617	2201	1360
618	2202	1355
619	2204	1351
620	2206	1346
621	2208	1342
622	2210	1337
623	2214	1334
624	2216	1329
625	2218	1325
626	2219	1320
627	2221	1315
628	2223	1311
629	2229	1309
630	2232	1305
631	2234	1300
632	2236	1296
633	2238	1292
634	2241	1288
635	2242	1283
636	2244	1279
637	2246	1274
638	2248	1270
639	2253	1267
640	2255	1263
641	2257	1258
642	2259	1254
643	2261	1250
644	2266	1247
645	2268	1243
646	2270	1239
647	2272	1234
648	2274	1230
649	2276	1226
650	2282	1223
651	2285	1219
652	2287	1215
653	2289	1211
654	2291	1206
655	2298	1205
656	2300	1201
657	2302	1196
658	2305	1192
659	2308	1189
660	2310	1185
661	2313	1181
662	2315	1176
663	2317	1172
664	2319	1168
665	2324	1165
666	2326	1161
667	2329	1157
668	2331	1153
669	2332	1149
670	2334	1144
671	2339	1141
672	2341	1137
673	2343	1133
674	2345	1129
675	2347	1125
676	2351	1121
677	2354	1117
678	2356	1114
679	2358	1109
680	2360	1105
681	2365	1102
682	2367	1098
683	2369	1094
684	2371	1090
685	2373	1086
686	2375	1082
687	2377	1078
688	2380	1074
689	2382	1070
690	2384	1066
691	2386	1062
692	2388	1057
693	2393	1055
694	2395	1051
695	2397	1047
696	2399	1043
697	2401	1039
698	2403	1034
699	2407	1031
700	2408	1027
701	2411	1023
702	2413	1019
703	2414	1015
704	2416	1011
705	2422	1008
706	2425	1005
707	2427	1001
708	2430	997
709	2438	995
710	2440	992
711	2442	988
712	2444	984
713	2452	982
714	2454	978
715	2456	974
716	2459	970
717	2462	966
718	2468	964
719	2471	961
720	2473	957
721	2475	953
722	2481	950
723	2483	946
724	2485	942
725	2487	938
726	2491	935
727	2496	932
728	2498	928
729	2500	924
730	2502	921
731	2507	918
732	2512	915
733	2514	911
734	2517	907
735	2524	905
736	2526	901
737	2528	897
738	2530	893
739	2533	890
740	2536	886
741	2538	882
742	2540	878
743	2542	874
744	2545	871
745	2548	867
746	2550	863
747	2552	859
748	2554	856
749	2556	852
750	2561	849
751	2563	845
752	2565	841
753	2567	837
754	2569	833
755	2574	830
756	2576	827
757	2579	823
758	2581	819
759	2583	815
760	2589	813
761	2591	809
762	2593	805
763	2595	801
764	2597	797
765	2602	794
766	2604	791
767	2606	787
768	2608	783
769	2611	779
770	2613	776
771	2617	772
772	2619	769
773	2621	765
774	2622	761
775	2625	757
776	2629	754
777	2633	751
778	2635	747
779	2638	744
780	2646	742
781	2649	738
782	2651	734
783	2654	731
784	2665	730
785	2671	727
786	2673	723
787	2683	721
788	2685	718
789	2687	714
790	2692	711
791	2696	708
792	2699	704
793	2701	701
794	2709	698
795	2711	695
796	2715	691
797	2722	689
798	2729	686
799	2732	683
800	2737	680
801	2741	676
802	2749	674
803	2751	670
804	2755	667
805	2758	664
806	2761	660
807	2764	656
808	2769	653
809	2774	650
810	2776	646
811	2781	643
812	2784	640
813	2786	636
814	2789	633
815	2796	630
816	2799	626
817	2810	625
818	2813	621
819	2819	618
820	2824	615
821	2827	612
822	2834	609
823	2838	606
824	2841	602
825	2843	598
826	2845	595
827	2847	591
828	2849	587
829	2852	584
830	2854	580
831	2857	576
832	2859	573
833	2861	569
834	2866	566
835	2868	562
836	2871	559
837	2873	555
838	2875	551
839	2878	548
840	2881	544
841	2883	541
842	2885	537
843	2887	533
844	2892	530
845	2894	526
846	2897	523
847	2899	519
848	2901	515
849	2906	512
850	2908	509
851	2910	505
852	2912	501
853	2914	498
854	2916	494
855	2925	492
856	2927	488
857	2930	484
858	2935	481
859	2940	478
860	2942	475
861	2944	471
862	2947	467
863	2949	464
864	2951	460
865	2953	457
866	2955	453
867	2957	449
868	2961	446
869	2964	442
870	2967	439
871	2969	435
872	2971	432
873	2974	428
874	2977	425
875	2979	421
876	2981	418
877	2983	414
878	2985	410
879	2991	407
880	2994	404
881	2995	400
882	2997	397
883	2999	393
884	3005	390
885	3008	387
886	3011	383
887	3014	380
888	3019	377
889	3022	373
890	3024	369
891	3026	366
892	3028	362
893	3033	359
894	3036	356
895	3038	352
896	3040	349
897	3042	345
898	3048	342
899	3051	339
900	3053	335
901	3055	331
902	3058	328
903	3064	325
904	3067	322
905	3069	318
906	3071	314
907	3075	311
908	3077	308
909	3079	304
910	3087	301
911	3089	298
912	3092	294
913	3094	291
914	3100	288
915	3104	284
916	3106	281
917	3108	277
918	3117	274
919	3120	271
920	3122	267
921	3133	265
922	3136	261
923	3138	258
924	3143	254
925	3146	251
926	3148	247
927	3156	244
928	3164	241
929	3167	238
930	3173	235
931	3182	232
932	3200	229
933	3203	226
934	3211	223
935	3217	220
936	3235	217
937	3245	214
938	3249	211
939	3295	210
940	3298	206
941	3314	204
942	3324	200
943	3329	197
944	3341	194
945	3356	191
946	3367	188
947	3419	187
948	3434	184
949	3440	181
950	3451	177
951	3454	174
952	3467	170
953	3470	167
954	3477	163
955	3492	160
956	3495	157
957	3498	153
958	3505	149
959	3517	146
960	3521	142
961	3533	139
962	3544	136
963	3564	133
964	3580	129
965	3593	126
966	3603	122
967	3608	119
968	3612	115
969	3620	111
970	3627	108
971	3630	104
972	3640	101
973	3647	97
974	3659	93
975	3664	90
976	3673	86
977	3683	82
978	3691	79
979	3713	75
980	3724	72
981	3729	68
982	3732	64
983	3740	60
984	3743	57
985	3764	53
986	3772	49
987	3777	45
988	3787	42
989	3791	38
990	3802	34
991	3805	30
992	3819	26
993	3845	23
994	3854	19
995	3857	15
996	3859	11
997	3862	7
998	3868	3
999	3871	0
